x,y,tx_04,tx_74,tx_03,tx_76,partition
12,8,-60,-61,-67,-72,2
12,8,-65,-59,-60,-70,2
12,8,-63,-60,-66,-71,2
12,8,-64,-61,-65,-84,2
2,12,-63,-65,-81,-75,3
2,12,-59,-67,-78,-78,3
2,12,-64,-58,-80,-74,3
2,12,-63,-62,-84,-71,3
2,12,-58,-60,-71,-68,3
2,12,-63,-64,-70,-65,3
2,12,-64,-67,-73,-68,3
2,12,-58,-69,-69,-77,3
2,12,-59,-69,-76,-71,3
2,12,-55,-64,-74,-78,3
4,11,-59,-57,-68,-61,3
4,11,-69,-49,-68,-68,3
4,11,-62,-60,-66,-69,3
4,11,-63,-57,-73,-76,3
4,11,-67,-48,-73,-66,3
4,11,-60,-59,-70,-58,3
4,11,-62,-54,-61,-65,3
4,11,-67,-56,-67,-63,3
4,11,-64,-63,-73,-70,3
4,11,-71,-60,-72,-65,3
4,14,-46,-65,-67,-67,3
4,14,-57,-64,-69,-64,3
4,14,-59,-63,-68,-65,3
4,14,-53,-67,-69,-53,3
4,14,-57,-62,-68,-75,3
4,14,-51,-54,-67,-65,3
4,14,-55,-60,-66,-60,3
4,14,-53,-63,-64,-66,3
4,14,-51,-65,-65,-57,3
4,14,-55,-59,-68,-51,3
6,13,-71,-64,-67,-66,3
6,13,-75,-64,-62,-59,3
6,13,-67,-60,-64,-66,3
6,13,-69,-64,-64,-58,3
6,13,-72,-62,-65,-57,3
6,13,-71,-64,-68,-57,3
6,13,-75,-64,-70,-56,3
6,13,-77,-64,-62,-65,3
6,13,-71,-58,-61,-65,3
6,13,-69,-58,-67,-65,3
8,12,-75,-61,-62,-65,3
8,12,-79,-60,-64,-65,3
8,12,-76,-73,-64,-56,3
8,12,-71,-72,-56,-65,3
8,12,-69,-68,-60,-60,3
8,12,-75,-65,-64,-60,3
8,12,-73,-62,-61,-65,3
8,12,-75,-67,-63,-65,3
8,12,-79,-65,-64,-66,3
8,12,-78,-65,-62,-67,3
11,11,-79,-58,-63,-74,3
11,11,-81,-54,-68,-73,3
11,11,-83,-64,-65,-73,3
11,11,-78,-63,-66,-72,3
11,11,-75,-65,-64,-74,3
11,11,-81,-65,-66,-70,3
11,11,-80,-60,-67,-72,3
11,11,-79,-61,-66,-73,3
11,11,-75,-67,-67,-69,3
11,11,-77,-70,-66,-71,3
11,14,-79,-70,-70,-69,3
11,14,-72,-70,-75,-75,3
11,14,-73,-75,-75,-70,3
11,14,-75,-67,-65,-70,3
11,14,-77,-66,-69,-72,3
11,14,-71,-66,-66,-68,3
11,14,-81,-68,-69,-66,3
11,14,-79,-70,-71,-64,3
11,14,-77,-75,-73,-67,3
11,14,-72,-71,-64,-64,3
12,13,-78,-65,-55,-70,3
12,13,-73,-68,-65,-61,3
12,13,-80,-59,-63,-72,3
12,13,-72,-63,-76,-64,3
12,13,-79,-66,-64,-58,3
12,13,-77,-78,-59,-66,3
12,13,-75,-71,-70,-69,3
12,13,-79,-66,-70,-72,3
12,13,-75,-57,-54,-62,3
12,13,-69,-63,-69,-69,3
2,16,-64,-69,-86,-65,4
2,16,-71,-64,-77,-66,4
2,16,-78,-64,-79,-69,4
2,16,-64,-81,-69,-55,4
2,16,-78,-66,-68,-65,4
2,16,-62,-65,-76,-61,4
2,16,-65,-67,-73,-64,4
2,16,-60,-68,-72,-65,4
2,16,-68,-70,-75,-62,4
2,16,-71,-62,-75,-70,4
2,20,-60,-77,-77,-57,4
2,20,-60,-73,-78,-49,4
2,20,-60,-72,-72,-58,4
2,20,-59,-66,-68,-57,4
2,20,-62,-72,-78,-59,4
2,20,-60,-73,-71,-51,4
2,20,-54,-76,-69,-47,4
2,20,-57,-69,-75,-52,4
2,20,-50,-72,-73,-51,4
2,20,-61,-73,-77,-57,4
2,24,-49,-63,-65,-70,4
2,24,-46,-69,-65,-70,4
2,24,-44,-66,-75,-69,4
2,24,-44,-63,-65,-64,4
2,24,-48,-70,-73,-68,4
2,24,-46,-70,-74,-66,4
2,24,-54,-66,-67,-70,4
2,24,-55,-64,-68,-66,4
2,24,-67,-66,-72,-57,4
2,24,-46,-66,-74,-64,4
7,16,-57,-66,-60,-65,4
7,16,-46,-76,-59,-58,4
7,16,-55,-73,-66,-64,4
7,16,-51,-75,-58,-55,4
7,16,-55,-77,-66,-57,4
7,16,-48,-72,-67,-55,4
7,16,-50,-76,-58,-57,4
7,16,-56,-66,-67,-53,4
7,16,-56,-74,-61,-55,4
7,16,-50,-72,-69,-62,4
7,20,-64,-82,-69,-70,4
7,20,-65,-84,-79,-63,4
7,20,-60,-86,-69,-69,4
7,20,-65,-84,-74,-72,4
7,20,-61,-73,-73,-70,4
7,20,-59,-81,-71,-75,4
7,20,-60,-84,-73,-65,4
7,20,-59,-82,-81,-73,4
7,20,-64,-77,-77,-70,4
7,20,-60,-83,-78,-64,4
7,24,-62,-64,-65,-65,4
7,24,-62,-63,-63,-56,4
7,24,-63,-69,-64,-67,4
7,24,-60,-65,-63,-58,4
7,24,-51,-67,-71,-61,4
7,24,-53,-67,-70,-59,4
7,24,-60,-60,-61,-65,4
7,24,-61,-62,-62,-70,4
7,24,-55,-71,-70,-55,4
7,24,-59,-69,-61,-55,4
12,16,-57,-65,-71,-59,4
12,16,-55,-54,-75,-58,4
12,16,-45,-65,-69,-56,4
12,16,-44,-63,-67,-58,4
12,16,-52,-61,-71,-58,4
12,16,-55,-64,-71,-58,4
12,16,-46,-60,-70,-60,4
12,16,-55,-57,-65,-55,4
12,16,-55,-59,-61,-61,4
12,16,-55,-58,-70,-67,4
12,20,-64,-76,-68,-55,4
12,20,-65,-69,-64,-69,4
12,20,-58,-67,-74,-74,4
12,20,-58,-76,-75,-71,4
12,20,-68,-78,-67,-76,4
12,20,-54,-67,-71,-67,4
12,20,-58,-72,-72,-66,4
12,20,-55,-70,-69,-64,4
12,20,-55,-65,-65,-65,4
12,20,-60,-64,-73,-62,4
12,24,-61,-71,-77,-58,4
12,24,-58,-74,-70,-60,4
12,24,-60,-75,-68,-54,4
12,24,-57,-70,-74,-53,4
12,24,-58,-69,-74,-59,4
12,24,-63,-68,-73,-58,4
12,24,-58,-78,-75,-51,4
12,24,-63,-67,-68,-47,4
12,24,-62,-68,-74,-52,4
12,24,-60,-72,-76,-49,4
